MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mpg),HWY (mpg),(L/year),(g/km)
2008,ACURA,CSX,COMPACT,2.0,4,AS5,X,9.5,6.5,30,43,1620,186
2008,ACURA,CSX,COMPACT,2.0,4,M5,X,8.7,6.4,32,44,1540,177
2008,ACURA,CSX,COMPACT,2.0,4,M6,Z,10.2,6.8,28,42,1740,200
2008,ACURA,MDX AWD,SUV,3.7,6,AS5,Z,13.8,10.0,20,28,2420,278
2008,ACURA,RDX AWD TURBO,SUV,2.3,4,AS5,Z,12.5,9.3,23,30,2200,253
2008,ACURA,RL AWD,MID-SIZE,3.5,6,AS5,Z,12.9,8.4,22,34,2160,248
2008,ACURA,TL,MID-SIZE,3.2,6,AS5,Z,11.6,7.5,24,38,1960,225
2008,ACURA,TL,MID-SIZE,3.5,6,AS5,Z,12.3,7.8,23,36,2060,237
2008,ACURA,TL,MID-SIZE,3.5,6,M6,Z,11.6,7.3,24,39,1940,223
2008,ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.5,7.0,27,40,1780,205
2008,ACURA,TSX,COMPACT,2.4,4,M6,Z,10.8,7.2,26,39,1840,212
2008,ASTON MARTIN,DB9 COUPE,MINICOMPACT,5.9,12,AS6,Z,19.2,11.3,15,25,3120,359
2008,ASTON MARTIN,DB9 COUPE,MINICOMPACT,5.9,12,M6,Z,20.9,12.3,14,23,3400,391
2008,ASTON MARTIN,DB9 VOLANTE,MINICOMPACT,5.9,12,AS6,Z,18.8,11.8,15,24,3140,361
2008,ASTON MARTIN,DB9 VOLANTE,MINICOMPACT,5.9,12,M6,Z,20.9,12.3,14,23,3400,391
2008,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.3,8,AM6,Z,16.1,10.1,18,28,2680,308
2008,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.3,8,M6,Z,17.2,10.8,16,26,2860,329
2008,AUDI,A3,STATION WAGON - SMALL,2.0,4,AS6,Z,9.3,6.9,30,41,1640,189
2008,AUDI,A3,STATION WAGON - SMALL,2.0,4,M6,Z,10.1,6.8,28,42,1720,198
2008,AUDI,A3 QUATTRO,STATION WAGON - SMALL,3.2,6,AS6,Z,11.3,8.0,25,35,1960,225
2008,AUDI,A4,COMPACT,2.0,4,AV,Z,9.8,6.7,29,42,1680,193
2008,AUDI,A4,COMPACT,2.0,4,M6,Z,10.2,6.3,28,45,1700,196
2008,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,2.0,4,AS6,Z,10.8,7.2,26,39,1840,212
2008,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,2.0,4,M6,Z,10.6,7.0,27,40,1800,207
2008,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,3.1,6,AS6,Z,12.1,8.0,23,35,2060,237
2008,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,3.1,6,M6,Z,13.6,8.1,21,35,2220,255
2008,AUDI,A4 CABRIOLET,SUBCOMPACT,2.0,4,AV,Z,9.8,6.7,29,42,1680,193
2008,AUDI,A4 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS6,Z,10.8,7.2,26,39,1840,212
2008,AUDI,A4 CABRIOLET QUATTRO,SUBCOMPACT,3.1,6,AS6,Z,12.5,8.1,23,35,2100,242
2008,AUDI,A4 QUATTRO,COMPACT,2.0,4,AS6,Z,10.8,7.2,26,39,1840,212
2008,AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Z,10.6,7.0,27,40,1800,207
2008,AUDI,A4 QUATTRO,COMPACT,3.1,6,AS6,Z,12.1,8.0,23,35,2060,237
2008,AUDI,A4 QUATTRO,COMPACT,3.1,6,M6,Z,13.6,8.1,21,35,2220,255
2008,AUDI,A5 QUATTRO,SUBCOMPACT,3.2,6,AS6,Z,11.6,7.6,24,37,1960,225
2008,AUDI,A5 QUATTRO,SUBCOMPACT,3.2,6,M6,Z,12.7,7.1,22,40,2040,235
2008,AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,3.1,6,AS6,Z,12.5,8.1,23,35,2100,242
2008,AUDI,A6 QUATTRO,MID-SIZE,3.1,6,AS6,Z,12.1,8.0,23,35,2060,237
2008,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,AS6,Z,13.1,8.8,22,32,2240,258
2008,AUDI,A8,MID-SIZE,4.2,8,AS6,Z,13.1,8.8,22,32,2240,258
2008,AUDI,A8L,FULL-SIZE,4.2,8,AS6,Z,13.1,8.8,22,32,2240,258
2008,AUDI,A8L,FULL-SIZE,6.0,12,AS6,Z,16.4,10.4,17,27,2740,315
2008,AUDI,Q7,SUV,3.6,6,AS6,Z,14.9,10.3,19,27,2560,294
2008,AUDI,Q7,SUV,4.2,8,AS6,Z,17.4,11.8,16,24,2980,343
2008,AUDI,R8,TWO-SEATER,4.2,8,AS6,Z,16.1,10.6,18,27,2720,313
2008,AUDI,R8,TWO-SEATER,4.2,8,M6,Z,16.9,10.2,17,28,2780,320
2008,AUDI,RS4,COMPACT,4.2,8,M6,Z,16.9,10.2,17,28,2780,320
2008,AUDI,S4,COMPACT,4.2,8,AS6,Z,15.4,9.5,18,30,2540,292
2008,AUDI,S4,COMPACT,4.2,8,M6,Z,16.0,10.2,18,28,2680,308
2008,AUDI,S4 AVANT,STATION WAGON - SMALL,4.2,8,AS6,Z,15.5,9.5,18,30,2560,294
2008,AUDI,S4 AVANT,STATION WAGON - SMALL,4.2,8,M6,Z,16.0,10.2,18,28,2680,308
